Date,open,high,low,close,tick_volume
2023-01-05 07:30:00,1.06036,1.0608,1.06021,1.06064,613
2023-01-05 07:45:00,1.06064,1.06106,1.06054,1.06106,513
2023-01-05 08:00:00,1.06107,1.062,1.06087,1.06195,679
2023-01-05 08:15:00,1.06195,1.062,1.06107,1.06146,661
2023-01-05 08:30:00,1.06145,1.06161,1.06122,1.06138,552
2023-01-05 08:45:00,1.06136,1.06137,1.0602800000000001,1.06034,875
2023-01-05 09:00:00,1.06027,1.06095,1.06017,1.06071,1302
2023-01-05 09:15:00,1.0607,1.061,1.06039,1.06081,1165
2023-01-05 09:30:00,1.06079,1.06123,1.06,1.06006,1254
2023-01-05 09:45:00,1.06006,1.06064,1.05902,1.06055,1923
2023-01-05 10:00:00,1.06055,1.06189,1.06051,1.06104,2519
2023-01-05 10:15:00,1.06104,1.06279,1.06099,1.06196,2096
2023-01-05 10:30:00,1.06196,1.06259,1.06147,1.06178,2170
2023-01-05 10:45:00,1.06179,1.0625,1.06151,1.06202,1732
2023-01-05 11:00:00,1.062,1.06208,1.06096,1.06131,1391
2023-01-05 11:15:00,1.0613,1.06199,1.06122,1.06184,1391
2023-01-05 11:30:00,1.06184,1.06291,1.06184,1.06254,1469
2023-01-05 11:45:00,1.0625499999999999,1.06289,1.06179,1.06235,1396
2023-01-05 12:00:00,1.06238,1.0626,1.06162,1.06197,1434
2023-01-05 12:15:00,1.06196,1.06214,1.06166,1.06178,1136
2023-01-05 12:30:00,1.06178,1.06201,1.061,1.06164,1314
2023-01-05 12:45:00,1.06164,1.06188,1.06131,1.06187,1093
2023-01-05 13:00:00,1.06188,1.06221,1.06159,1.06162,1274
2023-01-05 13:15:00,1.06161,1.06173,1.06055,1.06055,1040
2023-01-05 13:30:00,1.06055,1.06125,1.06031,1.06089,1099
2023-01-05 13:45:00,1.06089,1.06143,1.06071,1.06111,988
2023-01-05 14:00:00,1.06111,1.06124,1.06049,1.06088,1127
2023-01-05 14:15:00,1.06086,1.06165,1.06073,1.06122,1215
2023-01-05 14:30:00,1.06122,1.06175,1.06103,1.06125,1191
2023-01-05 14:45:00,1.06125,1.06135,1.05982,1.05995,1470
2023-01-05 15:00:00,1.05995,1.06083,1.05983,1.0601,2018
2023-01-05 15:15:00,1.06008,1.06031,1.05781,1.058,3973
2023-01-05 15:30:00,1.058,1.05801,1.05621,1.05703,3637
2023-01-05 15:45:00,1.0570599999999999,1.0575,1.05514,1.05524,2865
2023-01-05 16:00:00,1.05524,1.05606,1.05471,1.05597,2796
2023-01-05 16:15:00,1.05595,1.05621,1.05487,1.05502,2570
2023-01-05 16:30:00,1.05505,1.05552,1.05443,1.05493,3345
2023-01-05 16:45:00,1.05493,1.05533,1.05358,1.05393,3045
2023-01-05 17:00:00,1.05393,1.05675,1.05269,1.05428,4137
2023-01-05 17:15:00,1.05429,1.05443,1.0524,1.05287,3298
2023-01-05 17:30:00,1.05287,1.05331,1.05172,1.05273,2823
2023-01-05 17:45:00,1.05273,1.05289,1.0515,1.05185,2773
2023-01-05 18:00:00,1.05185,1.05284,1.05173,1.05235,2448
2023-01-05 18:15:00,1.05233,1.05319,1.05207,1.05314,2127
2023-01-05 18:30:00,1.05313,1.0532,1.05178,1.052,2151
2023-01-05 18:45:00,1.05199,1.05237,1.05186,1.05211,1587
2023-01-05 19:00:00,1.05211,1.0527,1.05187,1.05228,1479
2023-01-05 19:15:00,1.05228,1.0532,1.05188,1.05272,1794
2023-01-05 19:30:00,1.05272,1.0531,1.05206,1.05304,1089
2023-01-05 19:45:00,1.05303,1.05333,1.05255,1.05299,1340
2023-01-05 20:00:00,1.05299,1.05333,1.05292,1.05321,1127
2023-01-05 20:15:00,1.05322,1.05433,1.05299,1.05372,2295
2023-01-05 20:30:00,1.05373,1.05432,1.05357,1.05374,1725
2023-01-05 20:45:00,1.05374,1.05397,1.05342,1.0536,1221
2023-01-05 21:00:00,1.05362,1.05387,1.05317,1.05338,1229
2023-01-05 21:15:00,1.05339,1.05386,1.0531,1.05318,1104
2023-01-05 21:30:00,1.05317,1.05353,1.05297,1.05337,1315
2023-01-05 21:45:00,1.05333,1.05356,1.0529,1.05302,1220
2023-01-05 22:00:00,1.05301,1.05307,1.05239,1.05256,1375
2023-01-05 22:15:00,1.05257,1.05269,1.05231,1.05242,1114
2023-01-05 22:30:00,1.05242,1.05259,1.05211,1.05221,1137
2023-01-05 22:45:00,1.05222,1.05257,1.0520100000000001,1.0520100000000001,1199
2023-01-05 23:00:00,1.0521,1.05229,1.05152,1.0518,758
2023-01-05 23:15:00,1.0518,1.05207,1.05172,1.05187,450
2023-01-05 23:30:00,1.05189,1.05212,1.05172,1.05204,330
2023-01-05 23:45:00,1.05205,1.05224,1.05188,1.05207,369
2023-01-06 00:00:00,1.05205,1.05215,1.05187,1.0520100000000001,40
2023-01-06 00:15:00,1.05188,1.05225,1.05185,1.05222,67
2023-01-06 00:30:00,1.05231,1.05232,1.05183,1.05185,834
2023-01-06 00:45:00,1.05193,1.05212,1.05178,1.05198,449
2023-01-06 01:00:00,1.05203,1.05237,1.05185,1.0523,521
2023-01-06 01:15:00,1.0523,1.05257,1.05227,1.05248,465
